corrida,modelo,semilla,small,iteraciones,mejor_dice_val_rapida,iter_mejor,loss_final,seg_por_iter,minutos,dispositivo
A,A,423,False,25000,0.5115940456968506,23000,0.4568934328854084,0.6466875016689301,288.0335862835248,mps
A_s2,A,2,False,25000,0.5856960294367786,24000,0.4757171382009983,0.6468266189098357,288.12173288265865,mps
A_s3,A,3,False,25000,0.5903147864377948,22000,0.49048986852169035,0.6448330640792846,313.05688399473826,mps
B,B,423,False,25000,0.5131672261099507,13000,0.45332174554467203,0.792300671339035,355.8259512027105,mps
B_s2,B,2,False,25000,0.498979048342597,19000,0.48089187175035475,0.7933462262153625,392.1877011179924,mps
B_s3,B,3,False,25000,0.5565804019007048,22000,0.48350006505846976,0.791793555021286,380.0802618344625,mps
C,C,423,False,25000,0.5506719920995332,9000,0.4479321314394474,0.7954197287559509,356.93004999955497,mps
C_s2,C,2,False,25000,0.5260912502191306,19000,0.47712609797716143,0.7937464535236358,356.51040293773013,mps
